user_id,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9
76561197965169412,730,236850,295270,240,231670,20590,214950,269470,304030,216150
76561197965499872,268850,107410,216150,48700,251810,500,9900,364360,47410,252490
76561197965552657,107410,216150,304030,394360,251810,236850,48700,370240,214950,295270
76561197966222884,207890,251810,322170,310950,226700,295270,40100,378120,212200,42690
76561197966417949,39210,304030,313740,372000,240,268850,226700,33930,113400,9900
76561197966549639,730,240,269470,203770,295270,212200,346110,202990,388080,8500
76561197966671460,39210,48700,251810,10,20590,231430,372000,207890,378120,25800
76561197966803638,304030,295270,10,39210,47410,268850,295110,364360,359550,236430
76561197966924991,295270,236850,47410,201230,203770,359550,364360,231670,330070,252490
76561197966951746,107410,251810,268850,236850,363970,228180,385770,394360,322170,310950
76561197966994090,236850,359550,252490,47410,322170,20590,394360,240,372000,10190
76561197967159562,39210,207890,363970,500,330070,34220,8500,221100,71270,231670
76561197967195706,39210,10190,429200,203770,330070,207890,4000,363970,201230,42710
76561197967251861,39210,372000,33930,202990,271590,40100,9900,8800,429200,207890
76561197967792104,730,207890,216150,429200,48700,4000,203770,372000,39210,214950
76561197968489595,39210,236850,10190,20590,252950,429200,378120,330070,269470,214950
76561197968549753,39210,4000,378120,212160,200210,372000,374320,304030,313740,250900
76561197968715793,39210,207890,200210,20590,346110,231430,214950,295270,230410,212200
76561197968836308,226700,251810,389430,113400,25800,346110,216150,228180,330070,335300
76561197969268063,4000,378120,240,39210,10190,201230,295270,363890,200210,234630
76561197970209177,4000,200210,295270,9900,113400,201230,346110,236390,10,234630
76561197970338846,730,295270,207890,231670,330070,269470,34220,364360,221100,323220
76561197970478540,730,295270,9900,269470,346110,200210,203770,34330,47410,370240
76561197970553899,236850,231670,378120,212160,238960,4000,207890,384300,201230,214950
76561197970633231,39210,216150,207890,236850,313740,48700,203770,730,226700,372000
76561197970654601,39210,4000,207890,378120,330070,252490,268850,203770,313740,20590
76561197970692271,730,207890,269470,295270,202990,33930,226700,304030,330070,42690
76561197970806815,207890,295270,231670,730,378120,364360,500,201230,34220,234630
76561197970839999,4000,9900,39210,730,271590,251870,207890,269470,429200,10190
76561197970993256,39210,268850,20590,216150,429200,252490,10190,304030,238960,271590
76561197971264052,295270,10,730,378120,107410,252490,269470,346110,212200,20590
76561197971387530,304030,203770,200210,214950,48700,429200,113400,8500,252950,42710
76561197971493752,236850,39210,48700,372000,238960,9900,201230,212160,252950,20590
