steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
8380,Strong Bad's Cool Game for Attractive People: Episode 5,game,,,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8380/header.jpg?t=1467151472
8400,Geometry Wars: Retro Evolved,game,3.99,2007-06-18,76.0,531.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8400/header.jpg?t=1447351073
8500,EVE Online,game,0.0,2010-12-15,88.0,5552.0,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/8500/header.jpg?t=1481724473
8600,RACE 07,game,3.99,2007-10-15,83.0,1687.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8600/header.jpg?t=1478078194
8790,GTR 2 FIA GT Racing Game,game,7.99,2012-12-12,,140.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8790/header.jpg?t=1478078097
8800,Civilization IV: Beyond the Sword,game,9.99,2007-07-24,86.0,964.0,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/8800/header.jpg?t=1447351092
8850,BioShock® 2,game,,2010-02-09,88.0,8091.0,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/8850/header.jpg?t=1474575603
8870,BioShock Infinite,game,29.99,2013-03-25,94.0,62172.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/8870/header.jpg?t=1474401689
8880,Freedom Force,game,4.99,2009-05-29,90.0,258.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8880/header.jpg?t=1447351869
8890,Freedom Force vs. the Third Reich,game,4.99,2009-05-29,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8890/header.jpg?t=1447352162
8930,Sid Meier's Civilization® V,game,29.99,2010-09-21,90.0,103141.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/8930/header.jpg?t=1480703524
8970,Axel & Pixel,game,4.99,2010-10-06,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8970/header.jpg?t=1447353572
8980,Borderlands,game,19.99,2009-10-26,81.0,17133.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8980/header.jpg?t=1447366534
9000,Spear of Destiny,game,2.99,2007-08-03,,128.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9000/header.jpg?t=1447351109
9010,Return to Castle Wolfenstein,game,4.99,2007-08-03,88.0,1716.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9010/header.jpg?t=1447351110
9030,QUAKE Mission Pack 2: Dissolution of Eternity,game,2.99,2007-08-03,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9030/header.jpg?t=1447351113
9040,QUAKE Mission Pack 1: Scourge of Armagon,game,2.99,2007-08-03,,116.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9040/header.jpg?t=1447351112
9050,DOOM 3,game,0.0,2007-08-03,87.0,1828.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9050/header.jpg?t=1447351113
9060,HeXen II,game,4.99,2007-08-03,,142.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9060/header.jpg?t=1447351114
9160,Master Levels for Doom II,game,0.0,2007-08-03,,196.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9160/header.jpg?t=1447351119
9180,Commander Keen,game,4.99,2007-08-03,,567.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9180/header.jpg?t=1447351096
9200,RAGE,game,9.99,2011-10-03,79.0,8531.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9200/header.jpg?t=1447353435
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",game,12.99,2007-08-07,,419.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9310/header.jpg?t=1472591898
9340,Company of Heroes: Opposing Fronts,game,36.99,2007-09-24,87.0,486.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9340/header.jpg?t=1478040994
9350,Supreme Commander,game,14.99,2011-09-28,86.0,841.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9350/header.jpg?t=1472039646
9420,Supreme Commander: Forged Alliance,game,14.99,2011-09-28,81.0,3328.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9420/header.jpg?t=1472039648
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm",game,12.99,2008-03-05,,3155.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9450/header.jpg?t=1447351235
9460,Frontlines™: Fuel of War™,game,19.99,2008-02-29,73.0,451.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9460/header.jpg?t=1471962178
